marketplace,query,rank,product_id,product_url,title,brand,price,old_price,discount,rating,review_count,image_url,collected_at
wildberries,полотенце,1,11458591,https://www.wildberries.ru/catalog/11458591/detail.aspx,Полотенце махровое банное 100х150 набор 4 шт белое,Aquarelle,631.86,1206.24,48,4.7,3,https://basket-01.wbbasket.ru/vol114/part11458/11458591/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,2,17038374,https://www.wildberries.ru/catalog/17038374/detail.aspx,Полотенце махровое для лица 70х140 графит,Cleanelly,397.17,772.26,49,4.4,380,https://basket-02.wbbasket.ru/vol170/part17038/17038374/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,3,11714803,https://www.wildberries.ru/catalog/11714803/detail.aspx,Полотенце махровое для лица 30х50 комплект 3 шт серое,Arya Home,539.61,1072.28,50,4.3,17,https://basket-01.wbbasket.ru/vol117/part11714/11714803/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,4,11322047,https://www.wildberries.ru/catalog/11322047/detail.aspx,Полотенце бамбук пляжное 100х150 набор 2 шт молочное,Hobby Home,1144.81,2438.52,53,4.6,940,https://basket-01.wbbasket.ru/vol113/part11322/11322047/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,5,16377459,https://www.wildberries.ru/catalog/16377459/detail.aspx,Полотенце хлопок банное 50х90 набор 4 шт серое,Донецкая мануфактура,431.57,897.59,52,4.4,940,https://basket-02.wbbasket.ru/vol163/part16377/16377459/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,6,14107245,https://www.wildberries.ru/catalog/14107245/detail.aspx,Полотенце бамбук для ванной 70х140 комплект 3 шт бежевое,Belezza,1342.24,2390.16,44,4.3,2500,https://basket-01.wbbasket.ru/vol141/part14107/14107245/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,7,14491946,https://www.wildberries.ru/catalog/14491946/detail.aspx,Полотенце микрофибра для лица 100х150 набор 2 шт белое,Karna,2054.52,3254.17,37,4.3,940,https://basket-02.wbbasket.ru/vol144/part14491/14491946/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,8,14408072,https://www.wildberries.ru/catalog/14408072/detail.aspx,Полотенце органический хлопок для рук 30х50 набор 4 шт серое,Sofi De Marko,545.15,984.12,45,4.8,2500,https://basket-02.wbbasket.ru/vol144/part14408/14408072/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,9,11839607,https://www.wildberries.ru/catalog/11839607/detail.aspx,Полотенце микрофибра для рук 100х150 набор 4 шт белое,Unison,1287.49,2549.49,50,4.3,45,https://basket-01.wbbasket.ru/vol118/part11839/11839607/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,10,10192619,https://www.wildberries.ru/catalog/10192619/detail.aspx,Полотенце органический хлопок пляжное 50х90 подарочный набор молочное,Arya Home,1482.00,2632.33,44,4.7,17,https://basket-01.wbbasket.ru/vol101/part10192/10192619/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,11,14418934,https://www.wildberries.ru/catalog/14418934/detail.aspx,Полотенце микрофибра для ванной 100х150 набор 2 шт серое,Aquarelle,888.47,1157.61,23,5.0,45,https://basket-02.wbbasket.ru/vol144/part14418/14418934/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,12,18897858,https://www.wildberries.ru/catalog/18897858/detail.aspx,Полотенце махровое для ванной 80х150 белое,Волжский текстиль,567.68,820.52,31,4.9,940,https://basket-02.wbbasket.ru/vol188/part18897/18897858/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,13,11321324,https://www.wildberries.ru/catalog/11321324/detail.aspx,Полотенце махровое банное 100х150 комплект 3 шт белое,Bio-Textiles,359.68,651.24,45,4.3,7100,https://basket-01.wbbasket.ru/vol113/part11321/11321324/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,14,17099076,https://www.wildberries.ru/catalog/17099076/detail.aspx,Полотенце махровое пляжное 70х140 набор 4 шт молочное,Гармония,1160.40,2059.60,44,5.0,120,https://basket-02.wbbasket.ru/vol170/part17099/17099076/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,15,15672134,https://www.wildberries.ru/catalog/15672134/detail.aspx,Полотенце бамбук для рук 100х150 подарочный набор графит,Togas,877.44,1318.11,33,4.2,120,https://basket-02.wbbasket.ru/vol156/part15672/15672134/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,16,11188789,https://www.wildberries.ru/catalog/11188789/detail.aspx,Полотенце хлопок банное 50х90 набор 2 шт белое,Донецкая мануфактура,437.43,907.09,52,4.6,380,https://basket-01.wbbasket.ru/vol111/part11188/11188789/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,17,16829332,https://www.wildberries.ru/catalog/16829332/detail.aspx,Полотенце органический хлопок для лица 80х150 набор 4 шт графит,Aquarelle,1279.42,2566.72,50,4.4,17,https://basket-02.wbbasket.ru/vol168/part16829/16829332/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,18,11651177,https://www.wildberries.ru/catalog/11651177/detail.aspx,Полотенце органический хлопок для ванной 30х50 подарочный набор молочное,Aquarelle,2554.25,4868.47,48,4.2,940,https://basket-01.wbbasket.ru/vol116/part11651/11651177/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,19,17761611,https://www.wildberries.ru/catalog/17761611/detail.aspx,Полотенце махровое для лица 70х140 набор 4 шт графит,Arya Home,883.13,1293.91,32,4.4,17,https://basket-02.wbbasket.ru/vol177/part17761/17761611/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце,20,12790237,https://www.wildberries.ru/catalog/12790237/detail.aspx,Полотенце микрофибра банное 50х90 бежевое,Bio-Textiles,439.88,907.84,52,4.5,7100,https://basket-01.wbbasket.ru/vol127/part12790/12790237/images/big/1.webp,2026-09-20T20:04:28+00:00
wildberries,полотенце банное,1,17633773,https://www.wildberries.ru/catalog/17633773/detail.aspx,Полотенце органический хлопок банное 70х140 подарочный набор бежевое,Sofi De Marko,920.27,1845.75,50,4.4,7100,https://basket-02.wbbasket.ru/vol176/part17633/17633773/images/big/1.webp,2026-09-20T20:04:28+00:00
