query,product_count,avg_price,median_price,min_price,max_price,avg_rating,avg_review_count,median_review_count,strong_cards,top_brands,common_title_words
полотенце,20,513.45,552.0,215.0,1289.0,4.88,1290.8,147.5,11,"Galtex (9), LOVEDAY (2), SalvaHome (1)","набор (10), микрофибры (8), 70х140 (6), пляжное (6), махровое (4), рук (3), махровые (3), лица (3)"
полотенце банное,20,1046.4,1007.5,402.0,1986.0,4.93,355.8,23.0,8,"Letto (2), Ton Maison (2), Kava Home (2)","банное (16), махровое (9), набор (7), вафельное (4), банные (4), 70х130см (3), коробке (2), подарочной (2)"
полотенце для лица,20,443.05,490.5,214.0,596.0,4.89,3291.05,1158.5,16,"LOVEDAY (9), Letto (8), ZASHOP (1)","набор (12), махровые (12), рук (10), ванной (9), лица (8), 40х60 (8), махровое (5), наборе (4)"
полотенце махровое,20,1160.4,1152.0,766.0,1681.0,4.98,2.86,1.0,0,"VINONO (11), myzo (3), Bolangde (3)","банное (16), махровое (16), именное (10), набор (5), махровые (4), 70х130 (3), банные (3), 70х140 (3)"
полотенце хлопок,20,1615.25,1380.0,521.0,4449.0,4.92,3.79,2.5,0,"Dome (5), Togas (3), Чистый хлопок (3)","банное (17), хлопок (15), махровое (13), 70х130 (6), 440 (5), 70х130см (5), 500 (3), 100 (3)"
набор полотенец,20,863.35,744.0,393.0,1561.0,4.92,10233.94,28.5,7,"Унисон (2), Yorkent (2), Kava Home (2)","набор (20), махровое (9), банное (7), ванной (4), махровые (4), 50х80 (4), 70х130 (4), подарочный (3)"
набор полотенец для ванной,20,1600.9,1302.0,482.0,3384.0,4.84,14.0,6.0,0,"myzo (6), Dome (5), Estia (3)","набор (14), банное (13), 70х130 (12), 50х80 (11), махровое (9), 30х50 (5), махровые (4), рук (4)"
комплект полотенец,20,1251.35,1160.5,428.0,3945.0,4.89,5610.58,76.0,9,"Galtex (5), myzo (4), Dome (2)","набор (19), махровых (7), 70х130 (7), банные (6), банное (5), махровое (5), банных (5), 50х80 (5)"
полотенца набор 4 шт,20,1586.1,903.5,530.0,3993.0,4.92,91.18,27.0,5,"LOVEDAY (5), Dome (4), Estia (3)","набор (16), махровые (8), 50х80 (8), махровых (7), ванной (6), банные (6), лица (6), 40х60 (5)"
подарочный набор полотенец,20,2373.6,2075.0,358.0,6862.0,4.87,5.53,4.0,0,"Dome (9), Estia (5), Bolangde (2)","банное (14), 70х130 (13), 50х80 (13), набор (12), рук (6), лица (6), 2шт (5), хлопок (5)"
полотенце 70х140,20,1037.4,1108.0,397.0,2008.0,4.92,2203.05,168.0,12,"Баракат-текс (4), Diana Store (3), Letto (2)","70х140 (17), банное (14), махровое (13), набор (4), махровые (4), банные (4), хлопок (3), турция (3)"
полотенце 50х90,20,751.85,693.0,311.0,2975.0,4.89,1344.0,199.0,13,"Баракат-текс (4), myzo (3), Spany (2)","50х90 (18), набор (11), рук (10), лица (10), махровое (9), хлопок (7), махровые (4), банные (4)"
банное полотенце 70х140,20,894.85,774.0,397.0,1754.0,4.86,1615.0,717.5,15,"nfes (5), Баракат-текс (4), Kava Home (3)","банное (18), махровое (17), 70х140 (13), набор (6), 70x140 (5), мягкое (5), большое (3), хлопок (3)"
полотенце большое банное,20,1016.85,972.5,547.0,1561.0,4.93,865.05,174.0,10,"Софатекс (7), Galtex (2), Kava Home (2)","банное (18), махровое (15), набор (6), 100х150 (5), большое (5), ванны (3), душа (3), легкое (2)"
эко полотенце,20,1623.0,1113.0,439.0,6831.0,4.88,7386.09,6552.0,11,"Guten Morgen (6), MOLECOLA (2), MAYERI (2)","эко (16), бамбук (6), набор (5), 30х50 (5), стирки (4), 70х140 (3), держатель (3), экологичные (2)"
полотенце бамбук,20,1677.3,1709.0,459.0,2764.0,4.95,648.53,2.0,5,"Pupilla (4), Amour Fleurs (3), Valtery (3)","турция (9), бамбук (8), банное (8), набор (6), махровое (5), 70х140 (5), 100 (4), 70х140см (4)"
полотенце органический хлопок,20,4271.95,3738.0,866.0,8765.0,4.83,49.33,6.5,1,"Togas (13), Desforges (2), imabari towel Japan (1)","хлопок (16), банное (14), 1шт (10), махровое (7), 70x140 (5), 50x100 (5), 50х100 (3), органического (3)"
полотенце натуральный хлопок,20,2006.95,981.0,364.0,6770.0,4.84,107.75,2.0,1,"Togas (6), Bolangde (5), Чистый хлопок (2)","банное (18), махровое (16), 70х140 (6), хлопок (6), душа (5), ванны (4), монохром (4), рук (4)"
бежевые полотенца,20,3329.25,2088.0,713.0,9812.0,4.9,3.62,2.0,0,"Togas (8), Estia (4), PRIME PRIVE (2)","банное (18), махровое (13), хлопок (12), 70х140 (4), 500 (4), 1шт (3), 70х130см (3), 100 (3)"
полотенца для ванной красивые,20,961.35,1016.5,515.0,1415.0,4.89,2.21,1.0,0,"Bolangde (11), VINONO (6), GT (1)","махровое (18), 34х78 (9), рук (9), банное (8), именное (6), 50х90 (4), махровых (2), набор (2)"
