product_id,brand,product_title,отзывов,средний_рейтинг,негативных_%,главные_жалобы,главные_плюсы
228694961,Modjimoda,Полотенце махровое банное - набор 6 шт,300,4.26,21.7,"тонкое и просвечивает (48), линяет и красится (12), не впитывает (8)","хорошо впитывает (24), мягкое (10), плотное (7)"
559125882,Diana Store,Набор полотенец для ванной 50х80 и 70х130,300,4.45,16.7,"тонкое и просвечивает (28), упаковка и доставка (6), не впитывает (5)","хорошо впитывает (23), мягкое (21), подарок (11)"
306216941,KARNA,"Полотенце для лица и рук махровое 50х90 набор, турецкое",300,4.87,3.3,"упаковка и доставка (8), линяет и красится (7), катышки и ворс (1)","мягкое (54), хорошо впитывает (22), подарок (16)"
579914472,Yorkent,Полотенце банное махровое набор для ванной 6 шт,300,4.42,19.0,"тонкое и просвечивает (51), линяет и красится (6), не впитывает (5)","хорошо впитывает (27), мягкое (19), плотное (17)"
163352692,Баракат-текс,Полотенце кухонное вафельное набор 4 шт 35х70 см,300,4.9,2.0,"упаковка и доставка (5), линяет и красится (5), тонкое и просвечивает (3)","мягкое (45), хорошо впитывает (41), плотное (9)"
243756170,Letto,Полотенце махровое для лица и рук 50х90см набор 2 шт,300,4.83,3.7,"тонкое и просвечивает (15), линяет и красится (10), упаковка и доставка (8)","мягкое (44), хорошо впитывает (29), плотное (17)"
1024484983,Guten Morgen,Полотенце бамбук набор 30х50 - 2 шт Эко,300,4.24,22.7,"тонкое и просвечивает (24), упаковка и доставка (3), нитки и швы (3)","мягкое (46), плотное (18), хорошо впитывает (15)"
114258162,Letto,"Полотенце кухонные махровые в наборе 3шт и для рук, 30х50см",300,4.78,6.0,"тонкое и просвечивает (20), линяет и красится (5), упаковка и доставка (4)","мягкое (25), хорошо впитывает (22), плотное (5)"
678519502,Guten Morgen,Полотенце кухонное махровое набор 10 шт 30х30,300,4.68,7.7,"тонкое и просвечивает (7), упаковка и доставка (5), не впитывает (4)","хорошо впитывает (42), мягкое (17), плотное (13)"
212124157,Modjimoda,Набор махровых кухонных полотенец 30х30. В комплекте 10 штук,300,4.2,24.3,"не впитывает (14), тонкое и просвечивает (14), упаковка и доставка (4)","хорошо впитывает (35), мягкое (11), плотное (9)"
